VERSION_6_0 1-VG_voltage
P	0	5	0	51.9949	33.4607	128.556	0.823088	-0.418305	0.384118	8.904	1.233	-52	-10000	0	7	1	A	0	18052	0	0.367242	-1	0	0	-10000	-1131,-1053,-1041,-1029,-1009,-1002,-130,-52,-40,-28,-17,-9,-1	2798580	N\A	N\A	N\A	N\A
P	0	6	0	57.9277	29.629	128.323	0.704244	-0.564466	-0.430601	6.288	0.312	-130	-10000	0	7	1	A	0	18052	0	0.429913	-1	0	0	-10000	-1131,-1057,-1003,-130,-57,-2	2798580	N\A	N\A	N\A	N\A
P	0	13	0	54.8676	24.2589	116.413	0.735426	0.125668	0.66585	6.96	0.972	-64	-10000	0	7	1	A	0	18052	0	0.227975	-1	0	0	-10000	-1995,-1971,-1130,-1065,-1041,-994,-130,-121,-64,-40,7,29	2813593	N\A	N\A	N\A	N\A
P	0	15	0	49.9455	28.2837	129.736	0.712349	-0.473543	-0.517992	7.104	2.181	-11	-10000	0	4	1	A	0	18052	0	0.917961	-1	0	0	-10000	-1999,-1130,-1040,-1012,-130,-40,-11	2813593	N\A	N\A	N\A	N\A
P	0	25	0	63.8402	19.9913	106.547	0.0466135	-0.0162895	0.99878	3.093	0.24	-114	-10000	0	4	1	A	0	18052	0	0.329704	-1	0	0	-10000	-1869,-1864,-1853,-1763,-1749,-1738,-1627,-808,-803,-792,-703,-689,-679,-114,-106,-98,-3,13,145	2828460	N\A	N\A	N\A	N\A
P	0	27	0	58.0502	27.1963	126.397	0.934243	0.0479358	-0.353402	7.803	0.426	-111	-10000	0	7	1	A	0	18052	0	0.425525	-1	0	0	-10000	-1866,-1826,-1793,-1744,-805,-765,-741,-685,-111,-69,-43,23	2828460	N\A	N\A	N\A	N\A
P	0	35	0	43.1968	32.697	97.9512	0.45575	-0.194021	0.868705	5.499	2.478	-6	-10000	0	7	1	A	0	18052	0	0.598586	-1	0	0	-10000	-1953,-1941,-1935,-1134,-1129,-1007,-952,-940,-934,-133,-128,-6,49,61,68	2840550	N\A	N\A	N\A	N\A
P	0	36	0	46.3024	30.1857	104.765	0.323319	-0.43534	0.840205	2.934	0.411	-133	-10000	0	7	1	A	0	18052	0	-10000	-1	0	0	-10000	-1973,-1944,-1930,-1134,-1129,-1024,-1015,-971,-943,-929,-133,-128,-23,-14,30,57,72	2840550	N\A	N\A	N\A	N\A
P	0	37	0	52.3968	33.8413	115.554	-0.112018	0.55193	-0.826332	8.607	1.104	-56	-10000	0	4	1	A	0	18052	0	0.401865	-1	0	0	-10000	-1131,-1057,-1049,-1000,-971,-131,-56,-48,1,30,36	2840550	N\A	N\A	N\A	N\A
P	0	38	0	50.302	32.6387	111.161	-0.440151	-0.809581	-0.388388	4.92	1.119	20	-10000	0	7	1	A	0	18052	0	0.193696	-1	0	0	-10000	-1983,-1972,-1134,-1057,-1038,-981,-627,-132,-56,-37,20	2840550	N\A	N\A	N\A	N\A
P	0	39	0	56.7219	27.2113	119.704	-0.440251	0.174535	-0.880748	7.05	1.902	5	-10000	0	7	1	A	0	18052	0	0.417577	-1	0	0	-10000	-1997,-1131,-1123,-1073,-1061,-996,-131,-122,-72,-58,0,5	2840550	N\A	N\A	N\A	N\A
P	0	41	0	54.5144	-0.253074	121.67	-0.763311	-0.599603	-0.240483	2.34	0.048	-132	-10000	0	4	1	A	0	18052	0	0.0538875	-1	0	0	-10000	-1803,-1133,-1039,-802,-132,-39,-31,199	2878770	N\A	N\A	N\A	N\A
