VERSION_6_0 1-VG
P	0	1	0	74.4425	-49.7267	128.84	-1.5527	0.61069	-2.08499	2.904	0.069	-10000	120.75	0	4	1	A	0	18076	0	-10000	-1	0	0	-10000	-1538,-666,-599,374	2225524	N\A	N\A	N\A	N\A
P	0	6	0	74.7004	-37.8583	137.001	-1.35002	0.636506	-1.67999	1.959	0.045	-10000	121.75	0	4	1	A	0	18076	0	-10000	-1	0	0	-10000	-279,-274	2377420	N\A	N\A	N\A	N\A
P	0	7	0	73.8774	-35.1398	135.522	-1.3639	0.620886	-1.67731	1.77	0.042	-10000	121.5	0	4	1	A	0	18076	0	-10000	-1	0	0	-10000	-288,374,379	2383171	N\A	N\A	N\A	N\A
P	0	8	0	73.8812	-27.9205	165.558	-0.605986	0.438297	-0.82761	6.807	1.182	-89	-10000	0	4	1	A	0	18076	0	0.228647	-1	0	0	-10000	-1400,-1395,-750,-745,-717,-89,-79,300,322,333,367,377	2497384	N\A	N\A	N\A	N\A
P	0	9	0	79.1238	-70.0323	125.732	1.76146	-0.48665	0.697715	3.261	0.066	-160	-10000	0	4	1	A	0	18076	0	-10000	-1	0	0	-10000	-1474,-813,-808,-160,-141	2539766	N\A	N\A	N\A	N\A
P	0	10	0	81.0004	-61.1753	117.818	2.32868	-1.0587	0.296479	2.79	0.111	-102	-10000	0	4	1	A	0	18076	0	0.0491388	-1	0	0	-10000	-1441,-1429,-1424,-1413,-774,-757,-752,-746,-102,-97,-91	2547052	N\A	N\A	N\A	N\A
P	0	11	0	74.9322	-54.4713	111.373	2.61333	-0.947802	0.106303	2.79	0.294	-148	-10000	0	4	1	A	0	18076	0	-10000	-1	0	0	-10000	-1407,-1397,-757,-747,-741,-736,-114,-86,-148,-74,-70	2550374	N\A	N\A	N\A	N\A
P	0	12	0	86.396	-58.5463	117.73	-2.45847	-1.26185	-1.15422	2.391	0.186	-84	-10000	0	4	1	A	0	18076	0	-10000	-1	0	0	-10000	-1370,-1365,-710,-704,-699,-60,-54,-50,-84,-38	2556284	N\A	N\A	N\A	N\A
P	0	14	0	32.9098	-55.6185	150.831	0.95802	0.43762	-0.166016	5.508	0.615	-9	-10000	0	4	1	A	0	18076	0	0.246319	-1	0	0	-10000	-1808,-1791,-1753,-1747,-1736,-1725,-1720,-1187,-1131,-1125,-1121,-1087,-1081,-1070,-1065,-1059,-1054,-926,-921,-89,-76,-63,-54,-49,-43,-38,-9,51,62,340,351,357,384,390,395,428	2579153	N\A	N\A	N\A	N\A
P	0	15	0	64.6369	-27.2833	171.433	-0.340783	0.378195	-0.682942	9.741	1.359	325	-10000	0	4	1	A	0	18076	0	0.354299	-1	0	0	-10000	-1848,-1826,-1820,-1815,-993,-986,-95,-87,318,325,385	2601044	N\A	N\A	N\A	N\A
P	0	18	0	72.4201	-16.1832	166.399	-0.699519	0.319243	-0.756771	12.126	4.623	-75	-10000	0	4	1	A	0	18076	0	1.10468	-1	0	0	-10000	-1968,-1960,-1947,-1908,-634,-230,-75,-34	2638262	N\A	N\A	N\A	N\A
P	0	19	0	72.2377	-17.3702	166.824	-0.704815	0.275331	-0.754981	5.85	1.059	-86	-10000	0	4	1	A	0	18076	0	0.472836	-1	0	0	-10000	-1556,-1523,-1496,-1073,-1062,-1052,-1006,-972,-879,-86	2640444	N\A	N\A	N\A	N\A
P	0	20	0	97.4111	-74.6888	145.138	-1.13554	0.828314	-1.85489	3.654	1.488	-4	-10000	0	4	1	A	0	18076	0	0.463733	-1	0	0	-10000	-1926,-1911,-1459,-1454,-1449,-1438,-1432,-1422,-1392,-1382,-4,1,418,425,429,435,452,458,491,497	2647753	N\A	N\A	N\A	N\A
P	0	22	0	99.1052	-67.529	139.657	-1.28417	0.836981	-1.91682	2.475	0.303	10	-10000	0	4	1	A	0	18076	0	0.108493	-1	0	0	-10000	-1318,-1312,-1295,-1079,10,21,27,32,38,43	2654785	N\A	N\A	N\A	N\A
P	0	23	0	102.276	-73.4119	151.828	-0.83914	0.78965	-1.46211	3.498	0.918	0	-10000	0	4	1	A	0	18076	0	0.371729	-1	0	0	-10000	-1889,-1785,-1445,-1435,-1424,-1168,-901,-17,0,428	2659603	N\A	N\A	N\A	N\A
P	0	24	0	98.8525	-63.9214	165.338	-0.60976	0.542153	-1.13558	8.382	1.71	-42	-10000	0	4	1	A	0	18076	0	0.748492	-1	0	0	-10000	-1734,-1564,-1224,-1218,-1203,-668,-42,-30,412	2662767	N\A	N\A	N\A	N\A
P	0	25	0	99.3511	-66.105	166.372	-0.620957	0.513651	-1.13261	9.555	3.549	-40	-10000	0	4	1	A	0	18076	0	0.751751	-1	0	0	-10000	-1720,-1705,-1687,-1221,-1208,-1093,-1087,-697,-48,-40,-27,370	2666730	N\A	N\A	N\A	N\A
P	0	26	0	100.659	-66.0922	167.255	-0.62114	0.490609	-1.12487	10.731	5.706	384	-10000	0	4	1	A	0	18076	0	1.16157	-1	0	0	-10000	-1972,-1961,-1945,-1938,-1539,-1304,-1290,-1278,-1134,-40,-28,355,361,384,449,455	2674769	N\A	N\A	N\A	N\A
P	0	27	0	101.47	-63.0287	166.192	-0.622535	0.493951	-1.12722	8.883	1.491	-39	-10000	0	4	1	A	0	18076	0	0.841902	-1	0	0	-10000	-1851,-1839,-1456,-1450,-1427,-1362,-1356,-50,-39,-28,367,372,411,428,434,444	2676580	N\A	N\A	N\A	N\A
P	0	28	0	85.3752	-39.7478	174.972	-0.473347	0.24956	-0.796785	8.595	1.404	-76	-10000	0	4	1	A	0	18076	0	0.34938	-1	0	0	-10000	-1905,-1895,-1889,-1874,-1850,-1745,-1678,-1595,-1389,-1384,-1371,-1355,-971,-966,-952,-944,-932,-76,-67,323	2686835	N\A	N\A	N\A	N\A
P	0	29	0	87.5434	-39.3692	175.712	-0.501951	0.308609	-0.855504	9.105	1.254	-69	-10000	0	4	1	A	0	18076	0	0.433869	-1	0	0	-10000	-1922,-1100,-1095,-1089,-1078,-1062,-1000,-850,-845,-69,-50,33,38,177	2690903	N\A	N\A	N\A	N\A
P	0	30	0	87.102	-39.8829	176.007	-0.508995	0.302578	-0.857385	9.111	1.185	-69	-10000	0	4	1	A	0	18076	0	0.458414	-1	0	0	-10000	-1974,-1969,-1830,-1069,-1063,-1058,-974,-969,-802,-791,-69,-63,-58,-40,197	2692910	N\A	N\A	N\A	N\A
P	0	31	0	86.8713	-40.0901	175.029	-0.516637	0.530817	-0.966744	9.3	1.404	-68	130	0	4	1	A	0	18076	0	0.431327	-1	0	0	-10000	-1769,-1729,-1724,-1719,-1069,-1057,-1051,-1025,-752,-712,-707,-702,-123,-68,-38,244,288,294,299	2703926	N\A	N\A	N\A	N\A
P	0	32	0	86.9266	-40.3996	175.259	-0.525956	0.526631	-0.970066	9.264	1.551	-68	133.25	0	4	1	A	0	18076	0	0.474853	-1	0	0	-10000	-1761,-1717,-1711,-1706,-1134,-1071,-734,-728,-723,-68,-56,244,289,294,300,306	2705931	N\A	N\A	N\A	N\A
P	0	33	0	86.9462	-39.5135	174.721	-0.532111	0.537184	-0.985693	9.168	1.506	-68	130	0	4	1	A	0	18076	0	0.484671	-1	0	0	-10000	-1764,-1725,-1719,-1714,-1697,-1119,-1067,-1047,-674,-668,-663,-118,-68,-57,-46,332,337,343,349,354	2719944	N\A	N\A	N\A	N\A
