VERSION_6_0 1-Map
P	0	1	0	10.6138	-77.8002	-8.9351	0.926284	-0.290815	0.239633	13.89	4.23	130	-10000	0	4	1	A	0	586	0	0.70846	-1	0	0	-10000	-1639,-1628,-1614,-1586,-1574,-1552,-1455,-1446,-1242,-1234,-1208,-1201,-1185,-1157,-1147,-1134,-1007,-987,-975,-966,-916,-893,-830,-772,-752,-679,-652,-588,-485,-230,-208,-185,-162,-144,-135,-99,-88,-59,-49,-17,-7,6,24,130,144,156,165,201,206,238,265,315,356,379,388,491,-1669,-1660,-1651,-1628,-1619,-1605,-1596,-1564,-1551,-1542,-1528,-1519,-1510,-1501,-1487,-1478,-1433,-1287,-1252,-1242,-1220,-1189,-1178,-1169,-1125,-1115,-1102,-1096,-1061,-1051,-1043,-1029,-1019,-997,-978,-966,-955,-943,-934,-925,-911,-879,-870,-861,-848,-816,-805,-793,-784,-775,-761,-743,-729,-676,-666,-658,-643,-634,-625,-616,-602,-593,-584,-561,-285,-261,-252,-199,-188,-176,-153,-123,-112,-103,-91,-80,-67,-35,-26,38,47,59,70,80,92,101,112,124,133,174,-519045	519050	N\A	N\A	N\A	N\A	-200	200	-200	200	0.03	-5	0	0	-1	-10000	-10000	-10000	3	2000	1	N\A	-10000	11	0.297064	0	1.00957	N\A	-10000	113	20A 1-2
P	0	2	0	15.4768	-79.3269	-7.67703	0.926284	-0.290815	0.239633	1.032	0.015	-10000	-10000	0	4	1	A	0	586	0	-10000	-1	0	0	-10000	-10000	519050	N\A	N\A	N\A	N\A	-200	200	-200	200	0.03	-5	0	0	-1	-10000	-10000	-10000	3	2000	2	N\A	-10000	0	0.302126	0	-10000	N\A	-10000	114	20A 2-3
P	0	3	0	11.7208	-77.8933	-8.92951	0.926934	-0.282571	0.246873	6.225	1.938	-108	-10000	0	4	1	A	0	586	0	0.282228	-1	0	0	-10000	-1841,-1833,-1807,-1800,-1784,-1756,-1746,-1733,-1606,-1586,-1574,-1565,-1515,-1492,-1429,-1371,-1351,-1278,-1251,-1187,-1084,-829,-807,-784,-761,-743,-734,-698,-687,-658,-648,-616,-606,-593,-575,-469,-455,-443,-434,-398,-393,-361,-334,-284,-243,-220,-211,-108,-73,-62,-49,-40,-26,1,10,24,33,39,65,101,109,119,151,241,250,263,269,353,409,-1886,-1851,-1841,-1819,-1788,-1777,-1768,-1724,-1714,-1701,-1695,-1660,-1650,-1642,-1628,-1618,-1596,-1577,-1565,-1554,-1542,-1533,-1524,-1510,-1478,-1469,-1460,-1447,-1415,-1404,-1392,-1383,-1374,-1360,-1342,-1328,-1275,-1265,-1257,-1242,-1233,-1224,-1215,-1201,-1192,-1183,-1160,-884,-860,-851,-798,-787,-775,-752,-722,-711,-702,-690,-679,-666,-634,-625,-561,-552,-540,-529,-519,-507,-498,-487,-475,-466,-425,-411,-402,-393,-380,-519644	519649	N\A	N\A	N\A	N\A	-200	200	-200	200	0.03	-5	0	0	-1	-10000	-10000	-10000	3	2000	1	N\A	-10000	12	0.676414	0	0.324481	N\A	-10000	113	20A 1-2
P	0	4	0	16.5872	-79.3768	-7.63343	0.926934	-0.28257	0.246873	0.567	0.012	-10000	-10000	0	4	1	A	0	586	0	-10000	-1	0	0	-10000	-10000	519649	N\A	N\A	N\A	N\A	-200	200	-200	200	0.03	-5	0	0	-1	-10000	-10000	-10000	3	2000	2	N\A	-10000	0	0.676992	0	-10000	N\A	-10000	114	20A 2-3
P	0	5	0	11.9519	-77.888	-8.92356	0.932595	-0.267755	0.242019	2.457	0.93	162	-10000	0	4	1	A	0	586	0	0.124052	-1	0	0	-10000	-1905,-1650,-1628,-1605,-1582,-1564,-1555,-1519,-1508,-1479,-1469,-1437,-1427,-1414,-1396,-1290,-1276,-1264,-1255,-1219,-1214,-1182,-1155,-1105,-1064,-1041,-1032,-929,-894,-883,-870,-861,-847,-820,-811,-797,-788,-782,-756,-720,-712,-702,-670,-580,-571,-558,-552,-468,-412,-283,-276,-85,143,162,179,219,270,292,306,311,349,365,379,390,405,426,434,453,461,497,-1981,-1705,-1681,-1672,-1619,-1608,-1596,-1573,-1543,-1532,-1523,-1511,-1500,-1487,-1455,-1446,-1382,-1373,-1361,-1350,-1340,-1328,-1319,-1308,-1296,-1287,-1246,-1232,-1223,-1214,-1201,-1169,-1160,-1147,-1138,-1128,-1114,-1096,-1082,-1073,-1020,-1011,-997,-988,-979,-965,-956,-947,-937,-914,-902,-882,-870,-861,-838,-829,-820,-806,-774,-765,-743,-732,-724,-688,-679,-670,-656,-647,-638,-570,-561,-552,-538,-465,-456,-453,-520465	520470	N\A	N\A	N\A	N\A	-200	200	-200	200	0.03	-5	0	0	-1	-10000	-10000	-10000	3	2000	1	N\A	-10000	338	0.014507	0	0.118432	N\A	-10000	113	20A 1-2
P	0	6	0	16.848	-79.2937	-7.65296	0.932595	-0.267755	0.242019	0.24	0.012	-10000	-10000	0	4	1	A	0	586	0	-10000	-1	0	0	-10000	-10000	520470	N\A	N\A	N\A	N\A	-200	200	-200	200	0.03	-5	0	0	-1	-10000	-10000	-10000	3	2000	2	N\A	-10000	0	0.0348751	0	-10000	N\A	-10000	114	20A 2-3
P	0	7	0	13.2472	-77.8639	-8.87165	0.927917	-0.267104	0.260049	8.91	2.427	59	-10000	0	4	1	A	0	586	0	0.242905	-1	0	0	-10000	-1981,-1971,-1939,-1929,-1916,-1898,-1792,-1778,-1766,-1757,-1721,-1716,-1684,-1657,-1607,-1566,-1543,-1534,-1431,-1396,-1385,-1372,-1363,-1349,-1322,-1313,-1299,-1290,-1284,-1258,-1222,-1214,-1204,-1172,-1082,-1073,-1060,-1054,-970,-914,-785,-778,-587,-359,-340,-323,-283,-232,-210,-196,-191,-153,-137,-123,-112,-97,-76,-68,-49,-41,-5,6,27,35,59,118,127,134,158,250,264,274,280,324,332,421,-1989,-1957,-1948,-1884,-1875,-1863,-1852,-1842,-1830,-1821,-1810,-1798,-1789,-1748,-1734,-1725,-1716,-1703,-1671,-1662,-1649,-1640,-1630,-1616,-1598,-1584,-1575,-1522,-1513,-1499,-1490,-1481,-1467,-1458,-1449,-1439,-1416,-1404,-1384,-1372,-1363,-1340,-1331,-1322,-1308,-1276,-1267,-1245,-1234,-1226,-1190,-1181,-1172,-1158,-1149,-1140,-1072,-1063,-1054,-1040,-967,-958,-955,-914,-414,-405,-391,-382,-370,-305,-520967	520972	N\A	N\A	N\A	N\A	-200	200	-200	200	0.03	-5	0	0	-1	-10000	-10000	-10000	3	2000	1	N\A	-10000	23	0.971806	0	0.260757	N\A	-10000	113	20A 1-2
P	0	8	0	18.1187	-79.2662	-7.50639	0.927917	-0.267105	0.260049	0.705	0.012	-10000	-10000	0	4	1	A	0	586	0	-10000	-1	0	0	-10000	-10000	520972	N\A	N\A	N\A	N\A	-200	200	-200	200	0.03	-5	0	0	-1	-10000	-10000	-10000	3	2000	2	N\A	-10000	0	0.954388	0	-10000	N\A	-10000	114	20A 2-3
P	0	9	0	16.0486	-77.7487	-8.83181	0.908625	-0.292274	0.298289	4.998	1.545	-198	-10000	0	4	1	A	0	586	0	0.24838	-1	0	0	-10000	-1991,-1982,-1879,-1844,-1833,-1820,-1811,-1797,-1770,-1761,-1747,-1738,-1732,-1706,-1670,-1662,-1652,-1620,-1530,-1521,-1508,-1502,-1418,-1362,-1233,-1226,-1035,-807,-788,-771,-731,-680,-658,-644,-639,-601,-585,-571,-560,-545,-524,-516,-497,-489,-453,-442,-421,-413,-389,-330,-321,-314,-290,-198,-184,-174,-168,-124,-116,-27,78,96,104,143,199,211,237,296,325,355,373,431,-1970,-1961,-1947,-1938,-1929,-1915,-1906,-1897,-1887,-1864,-1852,-1832,-1820,-1811,-1788,-1779,-1770,-1756,-1724,-1715,-1693,-1682,-1674,-1638,-1629,-1620,-1606,-1597,-1588,-1520,-1511,-1502,-1488,-1415,-1406,-1403,-1362,-862,-853,-839,-830,-818,-753,-744,-721,-712,-703,-671,-648,-617,-603,-562,-553,-539,-530,-521,-498,-489,-477,-468,-435,-424,-380,-371,-359,-348,-318,-304,-295,-286,-272,-263,-231,-221,-521415	521420	N\A	N\A	N\A	N\A	-200	200	-200	200	0.03	-5	0	0	-1	-10000	-10000	-10000	3	2000	1	N\A	-10000	244	1.44936	0	0.371557	N\A	-10000	113	20A 1-2
P	0	10	0	20.8188	-79.2832	-7.26579	0.908625	-0.292274	0.298289	0.522	0.012	-10000	-10000	0	4	1	A	0	586	0	-10000	-1	0	0	-10000	-10000	521420	N\A	N\A	N\A	N\A	-200	200	-200	200	0.03	-5	0	0	-1	-10000	-10000	-10000	3	2000	2	N\A	-10000	0	1.39502	0	-10000	N\A	-10000	114	20A 2-3
